correlation
0.15507406
0.15876052
0.15422325
0.16744286
0.18754439
0.17924823
0.14079753
0.15224427
0.17357442
0.16991416
0.18293947
0.14828569
0.21303292
0.17421484
0.16563481
0.15237425
0.17561808
0.1921265
0.17718196
0.15605204
