correlation
0.19078611
0.18655227
0.1824766
0.18705809
0.19446899
0.18970272
0.16580135
0.18982428
0.1729326
0.192244
0.19260743
0.17128275
0.19531299
0.18805285
0.19132657
0.18864295
0.19130294
0.19183287
0.1835772
0.17966288
