type,bridge,MV
VanGogh,0.29036334,0.61906284
VanGogh,0.52304965,0.6698703
VanGogh,0.12034478,0.6421843
VanGogh,0.52950245,0.7177742
VanGogh,0.12863922,0.6732685
VanGogh,0.058814213,0.64720863
VanGogh,0.7843182,0.59293664
VanGogh,0.86736965,0.5097856
VanGogh,0.6103553,0.56830925
VanGogh,0.5095654,0.8382897
VanGogh,0.94760895,0.46417883
VanGogh,0.38728222,0.8321275
VanGogh,0.5362089,0.54558957
VanGogh,0.6630081,0.5453493
VanGogh,0.61448914,0.7405019
VanGogh,0.057805207,0.8747418
VanGogh,0.16114739,0.8700727
VanGogh,0.10331555,0.99420893
VanGogh,0.5288161,0.6097512
VanGogh,0.7313748,0.57217395
VanGogh,0.31799623,0.89075667
VanGogh,0.6573738,0.6218604
VanGogh,0.22724839,0.86946625
VanGogh,0.679797,0.71796536
VanGogh,0.03703746,0.9098347
VanGogh,0.58340895,0.55661684
VanGogh,0.17249486,0.8871728
VanGogh,0.8110199,0.58094716
VanGogh,0.22814251,0.6649613
VanGogh,0.6405487,0.7117031
VanGogh,0.7191564,0.6837354
VanGogh,0.68036014,0.6925793
VanGogh,0.68278015,0.62409157
VanGogh,0.03451674,0.9106371
VanGogh,0.58836484,0.7069601
VanGogh,0.7043061,0.61919653
VanGogh,0.8498567,0.63250923
VanGogh,0.60559416,0.6020821
VanGogh,0.0,0.91865844
VanGogh,0.19652805,0.6879817
VanGogh,0.17404053,0.89067686
VanGogh,0.5457816,0.66642463
VanGogh,0.3188316,0.8158486
VanGogh,0.62492174,0.6369403
VanGogh,0.20862922,0.8469948
VanGogh,0.17815657,0.81270206
VanGogh,0.4400774,0.7872196
VanGogh,0.21337809,0.9026775
VanGogh,0.6254319,0.6703872
VanGogh,0.94656736,0.44058278
VanGogh,0.16325663,0.964184
VanGogh,0.53821796,0.6057927
VanGogh,0.2755026,0.7241742
VanGogh,0.6912541,0.5904959
VanGogh,0.76385677,0.6299608
VanGogh,0.8031967,0.60957247
VanGogh,0.18386269,0.8884375
VanGogh,0.50398135,0.6841707
VanGogh,0.16552338,0.91254747
VanGogh,0.5707906,0.6623815
VanGogh,0.27095997,0.8335328
VanGogh,0.16069448,0.54368824
VanGogh,0.32280555,0.673951
VanGogh,0.56645,0.58001053
VanGogh,0.62665105,0.76420486
VanGogh,0.040616985,0.95091224
VanGogh,0.347303,0.84839946
VanGogh,0.46435887,0.744842
VanGogh,0.63776237,0.66809136
VanGogh,0.6969824,0.5962153
VanGogh,0.6218579,0.7159307
VanGogh,0.25200877,0.82030493
VanGogh,0.84327435,0.54071
VanGogh,0.6011255,0.6106918
VanGogh,0.24039565,0.6817244
VanGogh,0.5925567,0.56646645
VanGogh,0.23385732,0.85641426
VanGogh,0.6272872,0.6797013
VanGogh,0.6850922,0.64101785
VanGogh,0.49533677,0.8127574
VanGogh,0.05571376,0.90804327
VanGogh,0.24791218,0.6504999
VanGogh,0.20574205,0.87796336
VanGogh,0.44564697,0.7681658
