type,bridge,MV,path
Monet,0.16110998,0.46187797,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(156)_0000.png
Monet,0.71627057,0.31491515,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(157)_0000.png
Monet,0.9073248,0.21242575,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(158)_0000.png
Monet,0.70298046,0.27391028,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(159)_0000.png
Monet,0.8828701,0.1419373,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(160)_0000.png
Monet,0.8774945,0.21554056,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(161)_0000.png
Monet,0.812321,0.13702527,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(162)_0000.png
Monet,0.75184655,0.15472049,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(163)_0000.png
Monet,0.80865175,0.12948112,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(164)_0000.png
Monet,0.70383555,0.28585574,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(165)_0000.png
Monet,0.818791,0.19753022,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(166)_0000.png
Monet,0.854153,0.14637977,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(167)_0000.png
Monet,0.8832533,0.14300448,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(168)_0000.png
Monet,0.7765645,0.13417363,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(169)_0000.png
Monet,0.9251757,0.22459838,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(170)_0000.png
Monet,0.9180463,0.24413517,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(171)_0000.png
Monet,0.6850261,0.13343611,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(172)_0000.png
Monet,0.75059676,0.25757235,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(173)_0000.png
Monet,0.89900845,0.054536913,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(174)_0000.png
Monet,0.80945885,0.25180733,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(175)_0000.png
Monet,0.72509074,0.22425933,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(176)_0000.png
Monet,0.9633993,0.17334136,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(177)_0000.png
