correlation
0.17686798
0.16596213
0.1573263
0.14668623
0.19799869
0.17486872
0.1611146
0.15198582
0.15679604
0.17395717
0.21019521
0.15643845
0.17928989
0.17012128
0.18745059
0.1625886
0.16645059
0.17166388
0.15696827
0.17763777
